check	denetlemek
Check etmeyi sevmiyorum.	Denetlemeyi sevmiyorum.
Son sözü "Check edin beni ölüyorum" oldu.	Son sözü "denetleyin beni ölüyorum" oldu.
Beni check etmelisin.	Beni denetlemelisin.
Eksik bir check listesi mı?	Eksik bir denetleme listesi mı?
Evet, bebekler için sadece normal bir check listesi var.	Evet, bebekler için sadece normal bir denetleme listesi var.
Çocuklar belirli aralıklarla check ediliyor.	Çocuklar belirli aralıklarla denetleniyor ediliyor.
Check listesi yaptırmak istemedi.	Denetleme listesi yaptırmak istemedi.
Ve eğer başarılı bir doktor olursam, bedava check etmemi bekeleme.	Ve eğer başarılı bir doktor olursam, bedava denetlememi bekeleme.
Bir check dökümanı yazdırmak işinize yarar gibi görünüyor.	Bir denetleme dökümanı yazdırmak işinize yarar gibi görünüyor.
Beyler, ikinizin de mallar için check raporu yaptırması gerekiyor gibi gözüküyor.	Beyler, ikinizin de mallar için denetleme raporu yaptırması gerekiyor gibi gözüküyor.
Bay Vogler, bedava check listesi yaptırmak ister misiniz?	Bay Vogler, bedava denetleme listesi yaptırmak ister misiniz?
Evet. İki hafta önce check etmeye gelmişti.	Evet. İki hafta önce denetlemeye gelmişti.
Monterey'e vardığımızda bir check ederiz.	Monterey'e vardığımızda bir denetleriz.
Bu hastahanede check listesi vardı hastalar için.	Bu hastahanede denetleme listesi vardı hastalar için.
Sanırım bir check listesi hazırlamalısın.	Sanırım bir denetleme listesi hazırlamalısın.
Bir check etmelisin, sadece emin olmak için.	Bir denetlemelisin, sadece emin olmak için.
Foursquare'de check ediyorum mekanı.	Foursquare'de denetliyorum mekanı.
Phil check etti çünkü listede hata olmadığına emin olmak istiyoruz.	Phil denetledi çünkü listede hata olmadığına emin olmak istiyoruz.
Tam denetleme için vaktiniz yoksa küçük bir check yapabilirsiniz.	Tam denetleme için vaktiniz yoksa küçük bir denetleme yapabilirsiniz.
Belki de bir daha check etmelisiniz.	Belki de bir daha denetlemelisiniz.
listeyi check ettin mi?	listeyi denetledin mi?
Beni geçen hafta yaptığım check için aramışlar.	Beni geçen hafta yaptığım denetleme aramışlar.
Bu listenin cheki yapıldığında gümrükten geçer.	Bu listenin denetimi yapıldığında gümrükten geçer.
Ya chek et ya da terket burayı.	Ya denetle ya da terket burayı.
deadline	son teslim zamanı
Proje deadline'ı çok yakın.	Proje son teslim zamanı çok yakın.
deadline toplantısı yaptık.	son teslim zamanı toplantısı yaptık.
projenin deadline'ına daha çok var.	projenin son teslim zamanına daha çok var.
Bir deadline'ım var.	Bir son teslim zamanım var.
Deadline yaklaşıyor.	Son teslim zamanı yaklaşıyor.
Deadlinedan önce işi bitirmelisin.	Son teslim zamanından önce işi bitirmelisin.
Ben deadlineı hiç kaçırmadım.	Ben son teslim zamanını hiç kaçırmadım.
Deadline'ı iki hafta uzatabilir miyiz?	Son teslim zamanını iki hafta uzatabilir miyiz?
Deadline koyar mısın?	Son teslim zamanı koyar mısın?
İşi bitirmem için deadline'ım var.	İşi bitirmem için son teslim zamanım var.
İnsanın da deadlineı vardır.	İnsanın da son teslim zamanı vardır.
Bizim deadlineımız eceldir.	Bizim son teslim zamanımız eceldir.
Senin deadlinenın ne zaman Allah bilir.	Senin son teslim zamanın ne zaman Allah bilir.
Benim deadlineım dündü.	Benim son teslim zamanım dündü.
şu deadline kelimesinden nefret ediyorum.	şu son teslim zamanı kelimesinden nefret ediyorum.
Deadlineı kim dilimize soktu.	Son teslim zamanını kim dilimize soktu.
Projenin deadlineları vardı.	Projenin son teslim zamanları vardı.
Ama artık deadlinelar yok.	Ama artık son teslim zamanları yok.
Maçın deadlineı bitiş düdüğü değildir sadece.	Maçın son teslim zamanı bitiş düdüğü değildir sadece.
Bazı deadlinelar yanlış belirleniyor maalesef.	Bazı son teslim zamanları yanlış belirleniyor maalesef.
lansman	tanıtım
Lansman dediğin böyle yapılır.	Tanıtım dediğin böyle yapılır.
Lansman konuşmasına fazladan polis kuvveti getirmek istiyor.	Tanıtım konuşmasına fazladan polis kuvveti getirmek istiyor.
Hatta bana kalırsa yarın albüm lansman partisi düzenlememelisin.	Hatta bana kalırsa yarın albüm tanıtım partisi düzenlememelisin.
Londra'da büyük bir lansman planlıyor.	Londra'da büyük bir tanıtım planlıyor.
Vade süresi, faiz ve lansman hakkında henüz ayrıntılı bilgi verilmedi.	Vade süresi, faiz ve tanıtım hakkında henüz ayrıntılı bilgi verilmedi
Lansmanları hiç sevmiyorum.	Tanıtımları hiç sevmiyorum.
Lansman hediyeleri geldi mi?	Tanıtım hediyeleri geldi mi?
Senin lansmanın berbattı.	Senin tanıtımın berbattı.
Benim lansmanım güzeldi.	Benim tanıtımım güzeldi.
Onun lansmanı idare ederdi.	Onun tanıtımı idare ederdi.
Kalp sağlığı için lansman yapıldı.	Kalp sağlığı için tanıtım yapıldı.
Yeni TV kanalının lansmanı yapılmadı.	Yeni TV kanalının tanıtımı yapılmadı.
Onun lansmanında kötü şeyler yaşandı.	Onun tanıtımımızda kötü şeyler yaşandı.
Benim lansmanımda güzel şeyler vardı.	Benim tanıtımımda güzel şeyler vardı.
Bizim lansmanımız ertelendi.	Bizim tanıtımımız ertelendi.
Onların lansmanı garipti.	Onların tanıtımı garipti.
Senin lansmanında neler var.	Senin tanıtımında neler var.
Lansmanlarla geçen bir yıl oldu.	Tanıtımlarla geçen bir yıl oldu.
Lansmanlar ile geçecek bir hafta bizi bekliyor.	Tanıtımlar ile geçecek bir hafta bizi bekliyor.
Bu hediyeyi lansmanda kazandım.	Bu hediyeyi tanıtımda kazandım.
Afedersiniz, lansman nerede?	Afedersiniz, tanıtım nerede?
sen de gelecek misin lansmana?	sen de gelecek misin tanıtıma?
Lansman saat kaçta acaba?	Tanıtım saat kaçta acaba?
absürt	saçma
Ne absürt konuştun öyle.	Ne saçma konuştun öyle.
Ben absürt konuları hiç sevmem.	Ben saçma konuları hiç sevmem.
Absürt konuları anlatan insanlar var dünyada.	Saçma konuları anlatan insanlar var dünyada.
Oyunlarda bazen fazla absürt olaylar olabiliyor.	Oyunlarda bazen fazla saçma olaylar olabiliyor.
Bu kadar absürtünü hayatımda duymadım.	Bu kadar saçmasını hayatımda duymadım.
Absürt ne demek, biliyor musun?	Saçma ne demek, biliyor musun?
Bu çok absürt ve aşağılayıcı.	Bu çok saçma ve aşağılayıcı.
Bu ikisinden biri absürt değil.	Bu ikisinden biri saçma değil.
O kadar absürt bir şekilde küçük bir çocuk gibi ki!	O kadar saçma bir şekilde küçük bir çocuk gibi ki!
Bu çocukların senin kafanı absürt bir hikâyeyle doldurduklarını biliyorum.	Bu çocukların senin kafanı saçma bir hikâyeyle doldurduklarını biliyorum.
Bu hikayeler absürtler.	Bu hikayeler saçmalar.
Olaylar absürtmüş.	Olaylar saçmaymış.
İlginçten ziyade absürttü.	İlginçten ziyade saçmaydı.
Hayat absürtlüklerle dolu.	Hayat saçmalıklarla dolu.
Kafam dolu dolu absürt şeyleyle ne yazık ki.	Kafam dolu dolu saçma şeyleyle ne yazık ki.
Kör bıçak absürt domates kesilmiyor salatalar.	Kör bıçak saçma domates kesilmiyor salatalar.
Hayatla evren absürt iki ikilem.	Hayatla evren saçma iki ikilem.
analiz	çözümlemek
Analiz sonuçları geldi mi?	Çözümleme sonuçları geldi mi?
Bu tasarımın analizi yeni geldi.	Bu tasarımın çözümlemesi yeni geldi.
Raporun analizini yaptın mı?	Raporun çözümlemesini yaptın mı?
Bu sadece bir analiz.	Bu sadece bir çözümleme.
Durum analizi: umutsuz.	Durum çözümlemesi: umutsuz.
Onu analiz etmek istiyorsan, annesiyle başla.	Onu çözümlemek istiyorsan, annesiyle başla.
Kan örneğini analiz için gönderdim.	Kan örneğini çözümleme için gönderdim.
Bunu neden analiz ettirmek için laboratuvara göndermiyorsun?	Bunu neden çözümlettirmek için laboratuvara göndermiyorsun?
Senin Freudian analizin kadar eğlenceli değil.	Senin Freudian çözümlemen kadar eğlenceli değil.
Bakterilerin DNA analizini yaptım.	Bakterilerin DNA çözümlemelerini yaptım.
Analizlere güvenmiyorum.	Çözümlemelere güvenmiyorum.
Senin analizin güzel.	Senin çözümlemen güzel.
Onun analizi anlaşılmaz.	Onun çözümlemesi anlaşılmaz.
Benim analizim yok.	Benim çözümlemem yok.
Analizler kaybolmuş.	Çözümlemeler kaybolmuş.
Şu analizleri doğru yorumlayan yok mu yahu?	Şu çözümlemeleri doğru yorumlayan yok mu yahu?
Sizin analizleriniz nerede?	Sizin çözümlemeleriniz nerede?
Bizim analizlerimiz firmaya ulaşmış.	Bizim çözümlemelerimiz firmaya ulaşmış.
Bizim analizlerimizi kim götürdü firmaya?	Bizim çözümlemelerimizi kim götürdü firmaya?
Onun analizini ben çok beğemdim.	Onun çözümlemesini ben çok beğemdim.
Senin analizini de beğendim.	Senin çözümlemeni de beğendim.
Kendi analizimi kendim yaparım.	Kendi çözümlememi kendim yaparım.
Analizim şekil önümden çekil.	Çözümlemem şekil önümden çekil.
vizyon ileri görüş
Bu firmanın vizyonu çok iyi.	Bu firmanın ileri görüşü çok iyi.
Vizyon sahibi bir kişiliği vardı.	İleri görüş sahibi bir kişiliği vardı.
Benim vizyonum çok iyidir.	Benim ileri görüşüm çok iyidir.
Senin vizyonun nasıldır?	Senin ileri görüşün nasıldır?
Onun vizyonu sanırım iyi değil.	Onun ileri görüşü sanırım iyi değil.
Vizyonlarımızı karşılaştıralım mı?	İleri görüşlerimizi karşılaştıralım mı?
Vizyonsuz insanlar var dünyada.	İleri görüşsüz insanlar var dünyada.
Vizyonsuzluktan nefret ediyordu.	İleri görüşsüzlükten nefret ediyordu.
Fakat bu bir başlangıç, bir vizyon.	Fakat bu bir başlangıç, bir ileri görüş.
Yeni Vizyon.	Yeni ileri görüş.
Sana bir vizyon arayışı ile gelecek, bakın yardımcı oldu.	Sana bir ileri görüş arayışı ile gelecek, bakın yardımcı oldu.
